"Language","Glottocode","PC1","PC2","PC3"
"Haruai","haru1245",1.18214875851142,0.233643753768533,0.387996124350914
"Russian, Talitsk",NA,-0.889696901750474,3.12194910864211,-2.10093968387367
"Maltese","malt1254",-4.55770599428627,0.931867390994204,3.31786554267579
"Mori Bawah","mori1268",0.507458257179389,-1.57008818387325,-0.53705357062241
"Mixtec, Diuxi-Tilantongo","diux1235",1.14773506517024,-0.289101429698249,0.186169630451117
"Javanese, Tengger","teng1272",0.187221818498484,-0.593510083470662,-1.06095116201145
"Tagalog","taga1270",-2.40756665031877,-0.728317714350935,-0.804189468135313
"Agutaynen","agut1237",-1.67226685914568,-0.896912846948131,-0.940594286793205
"Mwotlâp","molt1237",0.0437766949315417,-1.09356906466333,-0.791628439232139
"Taba (Makian-east)","east2440",0.507458257179389,-1.57008818387325,-0.53705357062241
"Waima’a","wain1252",0.507458257179389,-1.57008818387325,-0.53705357062241
"Balinese","bali1278",-3.91234113986114,2.12354348289939,-0.616445012294214
"Hatam","hata1243",1.18214875851142,0.233643753768533,0.387996124350914
"Maybrat","maib1239",1.1482955387273,0.262509830278619,0.515206117367948
"Sougb","mani1235",0.947960908072016,0.191546665986616,0.391727277165213
"Tok Pisin","tokp240",-4.5035393433619,0.728566899979481,3.13170492159913
"Kapampangan","pamp1243",-2.40756665031877,-0.728317714350935,-0.804189468135313
"Mandarin","mand1415",-7.16275990693366,1.19369947674082,4.73594156060236
"Mandarin","mand1415",-7.16275990693366,1.19369947674082,4.73594156060236
"Tetun Dili","tetu1246",-4.13664426235428,2.36198842617576,1.0604244874713
"Vietnamese","viet1252",-7.74031883429138,2.20215428685621,3.62027500530643
"Thai","thai1261",-6.98536341050697,2.42516889069725,4.23007204447461
"Lao","laoo1244",-4.71072519911127,1.44293562461697,3.5070531745535
"Papiamentu","papi1253",-4.5035393433619,0.728566899979481,3.13170492159913
"Sranan","sran1240",-2.33158148382157,-0.2670549732474,-0.204376881804879
"Bislama","bisl1239",-4.5035393433619,0.728566899979481,3.13170492159913
"Palauan","pala1344",-3.69913242990154,0.670649732583878,1.29003769571007
"Bengkulu","beng1290",0.0437766949315417,-1.09356906466333,-0.791628439232139
"Besemah",NA,0.0437766949315417,-1.09356906466333,-0.791628439232139
"Malay, North Maluku","nort2828",0.187221818498484,-0.593510083470662,-1.06095116201145
